"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2020&sourcekey=0"
"Tue Apr 12 2022 16:56:31 GMT+0100 (British Summer Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Natural Gas,"Energy Prices: Nominal: Commercial: Natural Gas": Reference case,3-AEO2020.79.ref2020-d112119a,"nom $/MMBtu",7.515265,7.330574,7.664884,7.878531,8.128129,8.452993,8.898894,9.279066,9.6523,9.971255,10.240329,10.697969,10.895046,11.16188,11.553995,11.883238,12.160325,12.411177,12.765247,13.104399,13.43209,13.752543,14.112351,14.479293,14.852727,15.228446,15.668464,16.118177,16.621334,17.089733,17.621754,18.14599,"2.9%"
Electricity,"Energy Prices: Nominal: Commercial: Electricity": Reference case,3-AEO2020.80.ref2020-d112119a,"nom $/MMBtu",30.830906,30.961279,31.407562,32.135868,32.890987,33.825272,35.09354,36.345863,37.383957,38.043381,38.620903,39.447533,40.099247,40.651939,41.671246,42.544781,43.13353,43.881104,44.620193,45.691307,46.51318,47.195438,48.15844,49.128414,49.990021,51.11338,52.145409,53.140747,54.412182,55.5271,56.556358,57.704372,"2.0%"
Industrial,,3-AEO2020.82.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Nominal: Industrial: Propane": Reference case,3-AEO2020.83.ref2020-d112119a,"nom $/MMBtu",12.658596,11.83955,12.722672,13.87671,14.74191,15.692279,16.96826,18.276751,19.16684,19.908007,20.511856,20.884039,21.375778,21.978901,22.875311,23.736427,24.640102,25.634493,26.701134,27.771601,28.832088,29.860205,30.908772,32.25526,33.462578,34.720833,36.03735,37.380451,38.960884,40.625114,42.169914,43.727543,"4.1%"
Distillate Fuel Oil,"Energy Prices: Nominal: Industrial: Distillate Fuel Oil": Reference case,3-AEO2020.84.ref2020-d112119a,"nom $/MMBtu",21.893784,21.820929,21.709761,21.826406,21.738804,21.891291,21.730349,22.71274,23.31605,24.306074,25.156712,25.904556,26.858759,27.692871,28.80135,29.72611,30.709805,31.76099,32.706146,33.768833,34.895512,35.704792,36.834106,38.320728,39.501194,40.783012,42.438232,43.508476,45.091305,46.700859,48.227802,49.738029,"2.7%"
Residual Fuel Oil,"Energy Prices: Nominal: Industrial: Residual Fuel Oil": Reference case,3-AEO2020.85.ref2020-d112119a,"nom $/MMBtu",6.483411,3.70631,5.528891,7.50783,9.43463,11.631841,13.856524,14.144296,15.035812,15.200252,16.136724,16.77257,17.606222,18.104807,18.832867,19.342678,20.116554,20.893837,21.660503,22.441401,23.413763,24.500814,25.543066,26.51199,27.477909,28.398264,29.227905,30.529858,31.356266,32.452339,33.667686,35.129097,"5.6%"
Natural Gas,"Energy Prices: Nominal: Industrial: Natural Gas": Reference case,3-AEO2020.86.ref2020-d112119a,"nom $/MMBtu",3.601216,3.525634,3.710952,3.735183,3.842332,4.017489,4.338628,4.707205,4.998587,5.221118,5.355703,5.397535,5.460787,5.602723,5.809513,6.000632,6.12775,6.248054,6.445272,6.626045,6.78497,6.940349,7.097431,7.287761,7.47944,7.677778,7.901271,8.159787,8.452109,8.723154,8.997767,9.320045,"3.1%"
Metallurgical Coal,"Energy Prices: Nominal: Industrial: Metallurgical Coal": Reference case,3-AEO2020.87.ref2020-d112119a,"nom $/MMBtu",4.135304,3.805897,3.648503,3.566339,3.556056,3.639683,3.727462,3.819953,3.946332,4.075605,4.22377,4.364556,4.513444,4.663561,4.812816,4.970798,5.127205,5.285625,5.452919,5.621184,5.802433,5.982474,6.184881,6.387792,6.603236,6.818672,7.048176,7.282109,7.534723,7.793163,8.068458,8.343521,"2.3%"
Other Industrial Coal,"Energy Prices: Nominal: Industrial: Other Industrial Coal": Reference case,3-AEO2020.88.ref2020-d112119a,"nom $/MMBtu",2.601454,2.65938,2.765685,2.827134,2.89904,2.978438,3.060259,3.137951,3.237453,3.316332,3.409131,3.498648,3.586864,3.675384,3.764619,3.854324,3.943472,4.040448,4.145442,4.24707,4.357159,4.464305,4.586662,4.712584,4.836785,4.962126,5.101105,5.236682,5.383179,5.534954,5.695818,5.859435,"2.7%"
Coal to Liquids,"Energy Prices: Nominal: Industrial: Coal to Liquids": Reference case,3-AEO2020.89.ref2020-d112119a,"nom $/MMBtu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Nominal: Industrial: Electricity": Reference case,3-AEO2020.90.ref2020-d112119a,"nom $/MMBtu",20.23842,20.245409,20.025127,20.476936,20.868557,21.419798,22.241348,23.021315,23.672281,24.137175,24.571554,24.966639,25.377295,25.817158,26.446489,27.025972,27.45232,27.948982,28.50024,29.155092,29.697931,30.195475,30.788507,31.389227,32.03315,32.728188,33.421803,34.147125,35.013634,35.82917,36.641552,37.505711,"2.0%"
Transportation,,3-AEO2020.93.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Nominal: Transportation: Propane": Reference case,3-AEO2020.94.ref2020-d112119a,"nom $/MMBtu",16.634918,15.939724,16.81554,17.981577,18.902861,19.881062,21.13131,22.415682,23.355261,24.163933,24.855898,26.049196,26.648611,27.340675,28.382521,29.296782,30.250078,31.284847,32.384247,33.492001,34.594357,35.673637,36.774696,38.115555,39.359287,40.648556,41.991829,43.364948,44.930332,46.578308,48.147663,49.72649,"3.6%"
E85,"Energy Prices: Nominal: Transportation: E85": Reference case,3-AEO2020.95.ref2020-d112119a,"nom $/MMBtu",24.537947,24.83527,31.393368,30.58511,31.540339,32.149506,32.121197,32.961231,34.022007,35.164154,36.368839,38.95927,40.278027,41.388729,43.218895,44.846947,47.385799,48.259296,49.593365,52.141422,54.896019,57.474426,59.284332,63.285099,65.52742,67.780922,70.151512,72.730042,80.552498,84.64769,86.845955,89.585838,"4.3%"
Motor Gasoline,"Energy Prices: Nominal: Transportation: Motor Gasoline": Reference case,3-AEO2020.96.ref2020-d112119a,"nom $/MMBtu",22.170872,22.489981,23.068863,23.652714,24.130596,24.352112,25.186157,25.994221,26.940708,27.725628,28.761547,30.343296,31.245243,32.220367,33.519279,34.796341,35.924461,37.153969,38.096264,39.375465,40.796497,41.857342,43.111374,44.781216,46.182957,47.629784,49.382824,50.712658,52.843575,54.772526,56.62244,58.43618,"3.2%"
Jet Fuel,"Energy Prices: Nominal: Transportation: Jet Fuel": Reference case,3-AEO2020.97.ref2020-d112119a,"nom $/MMBtu",14.641048,14.801931,15.187788,15.792356,16.29398,17.114019,17.58572,18.536133,19.01465,20.058853,20.80448,21.599957,22.54966,23.286215,24.350843,25.282394,26.22341,27.162048,28.129923,29.077169,30.164875,30.98653,32.105167,33.490929,34.617443,35.840416,37.454876,38.44138,40.172516,41.830826,43.364655,44.61483,"3.7%"
Diesel Fuel (distillate fuel oil),"Energy Prices: Nominal: Transportation: Diesel Fuel": Reference case,3-AEO2020.98.ref2020-d112119a,"nom $/MMBtu",22.110788,21.86459,22.520702,23.447042,24.155603,25.152311,25.876425,26.968355,27.682907,28.782223,29.744112,31.072458,32.131252,33.081982,34.358593,35.388378,36.483025,37.664371,38.762928,39.965317,41.210846,42.134258,43.364655,45.008724,46.323139,47.77346,49.573795,50.781284,52.495159,54.246723,55.935318,57.626915,"3.1%"
Residual Fuel Oil,"Energy Prices: Nominal: Transportation: Residual Fuel Oil": Reference case,3-AEO2020.99.ref2020-d112119a,"nom $/MMBtu",9.577926,10.826867,10.936658,10.96201,9.824539,10.381392,10.902651,11.92218,13.184854,13.967137,14.660953,14.278693,14.895534,15.314757,16.008417,16.545094,17.915684,18.952824,19.516666,20.833527,21.553137,22.321121,23.013912,23.585379,25.242838,26.282902,26.951853,28.760279,30.02165,31.16256,32.321644,31.963968,"4.0%"
Natural Gas,"Energy Prices: Nominal: Transportation: Natural Gas": Reference case,3-AEO2020.100.ref2020-d112119a,"nom $/MMBtu",13.698598,13.609958,13.28656,13.358461,13.695583,13.866628,14.191694,14.47123,14.670904,14.774322,14.786587,15.679444,15.67318,15.790754,16.13611,16.360399,16.561295,16.794565,17.135159,17.465788,17.792345,18.113161,18.444412,18.844269,19.247549,19.680775,20.133883,20.658138,21.229891,21.791283,22.376007,23.017862,"1.7%"
Electricity,"Energy Prices: Nominal: Transportation: Electricity": Reference case,3-AEO2020.101.ref2020-d112119a,"nom $/MMBtu",33.252598,34.740051,35.656937,36.969536,38.46106,39.889267,41.661911,43.369644,44.733212,45.747688,46.676857,47.572342,48.575695,49.627586,51.003799,52.227413,52.87347,53.636631,54.585724,55.632477,56.568375,57.481598,58.470314,59.526611,60.421333,61.528332,62.742672,63.992901,65.289978,66.594391,67.759308,68.945312,"2.4%"
Electric Power,,3-AEO2020.103.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Prices: Nominal: Electric Power: Distillate Fuel Oil": Reference case,3-AEO2020.104.ref2020-d112119a,"nom $/MMBtu",21.897861,21.829308,21.592564,21.522066,21.298798,21.328819,21.047977,21.805527,22.269033,23.169819,23.967041,24.658218,25.445477,26.213339,27.313379,28.257555,29.219763,30.2721,31.157148,32.009998,33.113647,33.940845,35.038738,36.480667,37.580975,38.804821,40.444088,41.566467,43.259933,44.999249,46.57795,48.034279,"2.6%"
Residual Fuel Oil,"Energy Prices: Nominal: Electric Power: Residual Fuel Oil": Reference case,3-AEO2020.105.ref2020-d112119a,"nom $/MMBtu",12.40038,11.835545,14.023137,14.4061,14.679399,15.134599,15.682349,16.187702,16.924318,17.345709,18.25038,18.953651,19.730804,20.36096,21.178526,21.871368,22.649494,23.424082,24.221495,25.029875,25.953241,26.879194,27.670366,28.593472,29.306929,29.95532,30.478369,31.66947,32.728661,33.997913,35.293125,36.672565,"3.6%"
Natural Gas,"Energy Prices: Nominal: Electric Power: Natural Gas": Reference case,3-AEO2020.106.ref2020-d112119a,"nom $/MMBtu",2.85879,2.715891,2.957058,3.025,3.175899,3.416371,3.81267,4.148504,4.406528,4.592675,4.688637,4.706433,4.768927,4.908823,5.11006,5.297098,5.404827,5.519382,5.700296,5.860459,6.000832,6.144917,6.277698,6.43747,6.602377,6.785738,6.969566,7.214569,7.492677,7.747829,7.986118,8.297397,"3.5%"
Steam Coal,"Energy Prices: Nominal: Electric Power: Steam Coal": Reference case,3-AEO2020.107.ref2020-d112119a,"nom $/MMBtu",2.048339,2.108984,2.126046,2.149246,2.177383,2.219719,2.250364,2.312521,2.38475,2.420799,2.480278,2.535587,2.590761,2.644179,2.712122,2.772182,2.824643,2.886834,2.958932,3.0205,3.085952,3.144176,3.21515,3.292465,3.371233,3.450531,3.53679,3.616246,3.707378,3.797542,3.887362,3.981618,"2.2%"
Uranium,"Energy Prices: Nominal: Electric Power: Uranium": Reference case,3-AEO2020.108.ref2020-d112119a,"nom $/MMBtu",0.676258,0.694886,0.713084,0.732082,0.752192,0.770528,0.790411,0.810164,0.830801,0.852031,0.875002,0.898102,0.919789,0.943004,0.966767,0.989245,1.013796,1.039178,1.063841,1.090862,1.118562,1.146933,1.174644,1.205112,1.236423,1.268916,1.302662,1.33745,1.373748,1.411683,1.450911,1.4907,"2.6%"
Average Price to All Users,,3-AEO2020.111.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Nominal: Average Price to All Users: Propane": Reference case,3-AEO2020.112.ref2020-d112119a,"nom $/MMBtu",18.517338,18.229893,19.065264,20.326208,21.466534,22.67543,24.171638,25.769724,27.090048,28.237226,29.217224,30.115879,30.844578,31.637451,32.717934,33.784908,34.917686,36.157112,37.485012,38.846771,40.220398,41.572487,42.945549,44.571014,46.127712,47.732986,49.400085,51.106815,53.0294,55.075375,57.063828,59.059361,"3.8%"
E85,"Energy Prices: Nominal: Average Price to All Users: E85": Reference case,3-AEO2020.113.ref2020-d112119a,"nom $/MMBtu",24.537947,24.83527,31.393368,30.58511,31.540339,32.149506,32.121197,32.961231,34.022007,35.164154,36.368839,38.95927,40.278027,41.388729,43.218895,44.846947,47.385799,48.259296,49.593365,52.141422,54.896019,57.474426,59.284332,63.285099,65.52742,67.780922,70.151512,72.730042,80.552498,84.64769,86.845955,89.585838,"4.3%"
Motor Gasoline,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": Reference case,3-AEO2020.114.ref2020-d112119a,"nom $/MMBtu",22.152426,22.476097,23.058857,23.646887,24.12993,24.357769,25.198143,26.007742,26.955055,27.741505,28.778349,30.361357,31.264753,32.241119,33.541691,34.819649,35.949486,37.179661,38.123127,39.403301,40.824852,41.886906,43.142006,44.812649,46.215427,47.663067,49.416149,50.748055,52.878395,54.80825,56.658916,58.473961,"3.2%"
Jet Fuel,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": Reference case,3-AEO2020.115.ref2020-d112119a,"nom $/MMBtu",14.641048,14.801931,15.187788,15.792356,16.29398,17.114019,17.58572,18.536133,19.01465,20.058853,20.80448,21.599957,22.54966,23.286215,24.350843,25.282394,26.22341,27.162048,28.129923,29.077169,30.164875,30.98653,32.105167,33.490929,34.617443,35.840416,37.454876,38.44138,40.172516,41.830826,43.364655,44.61483,"3.7%"
Distillate Fuel Oil,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": Reference case,3-AEO2020.116.ref2020-d112119a,"nom $/MMBtu",22.055973,21.853039,22.364737,23.142859,23.703457,24.539438,25.093283,26.154129,26.838333,27.908207,28.836575,29.989403,31.015684,31.927151,33.152954,34.146179,35.208729,36.34787,37.397785,38.553295,39.766514,40.657902,41.862637,43.462215,44.743576,46.136909,47.897369,49.062916,50.741566,52.457188,54.094814,55.732666,"3.0%"
Residual Fuel Oil,"Energy Prices: Nominal: Average Price to All Users: Residual Fuel Oil": Reference case,3-AEO2020.117.ref2020-d112119a,"nom $/MMBtu",9.750307,10.441105,10.780959,10.946155,10.121163,10.770412,11.386498,12.338628,13.543,14.272183,15.000078,14.738187,15.381991,15.820046,16.525875,17.070066,18.357567,19.380268,19.973831,21.212177,21.967365,22.779888,23.487055,24.118683,25.640438,26.644098,27.297867,29.040562,30.246037,31.388243,32.56176,32.494564,"4.0%"
Natural Gas,"Energy Prices: Nominal: Average Price to All Users: Natural Gas": Reference case,3-AEO2020.118.ref2020-d112119a,"nom $/MMBtu",5.031696,4.876851,5.088178,5.200174,5.365794,5.613465,5.993302,6.374442,6.707613,6.967343,7.148621,7.360861,7.472007,7.651795,7.913092,8.124537,8.298044,8.466033,8.702823,8.926161,9.132863,9.332136,9.545887,9.7883,10.032332,10.296288,10.581704,10.905455,11.251956,11.569595,11.899182,12.282603,"2.9%"
Metallurgical Coal,"Energy Prices: Nominal: Average Price to All Users: Metallurgical Coal": Reference case,3-AEO2020.119.ref2020-d112119a,"nom $/MMBtu",4.135304,3.805897,3.648503,3.566339,3.556056,3.639683,3.727462,3.819953,3.946332,4.075605,4.22377,4.364556,4.513444,4.663561,4.812816,4.970798,5.127205,5.285625,5.452919,5.621184,5.802433,5.982474,6.184881,6.387792,6.603236,6.818672,7.048176,7.282109,7.534723,7.793163,8.068458,8.343521,"2.3%"
Other Coal,"Energy Prices: Nominal: Average Price to All Users: Other Coal": Reference case,3-AEO2020.120.ref2020-d112119a,"nom $/MMBtu",2.081845,2.142135,2.167926,2.196788,2.23245,2.27904,2.318142,2.378746,2.453103,2.492555,2.554786,2.612804,2.670196,2.725629,2.793735,2.855922,2.911102,2.976252,3.050606,3.115995,3.185122,3.247187,3.322262,3.403437,3.485792,3.568452,3.65914,3.741654,3.836952,3.931766,4.027357,4.126118,"2.2%"
Coal to Liquids,"Energy Prices: Nominal: Average Price to All Users: Coal to Liquids": Reference case,3-AEO2020.121.ref2020-d112119a,"nom $/MMBtu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Nominal: Average Price to All Users: Electricity": Reference case,3-AEO2020.122.ref2020-d112119a,"nom $/MMBtu",30.454449,30.661966,31.207701,31.909357,32.692146,33.647961,34.874352,36.096222,37.152561,37.893734,38.571289,39.395653,40.122002,40.823757,41.869755,42.812061,43.494694,44.316452,45.151012,46.236134,47.130112,47.92844,48.928825,49.92429,50.909897,52.075039,53.193027,54.298119,55.623085,56.845604,57.994427,59.239773,"2.2%"
Non-Renewable Energy Expenditures by Sector,,3-AEO2020.124.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(billion nominal dollars),,3-AEO2020.125.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,"Energy Expenditures: Nominal: Non-Renewable Residential": Reference case,3-AEO2020.126.ref2020-d112119a,"billion nom $",254.577835,250.973541,261.605988,268.079651,275.139679,283.51123,293.353363,304.126251,313.890686,322.333801,330.464752,340.535034,348.587921,357.270538,368.589203,379.352112,388.685242,399.00766,410.112518,422.597076,434.126068,445.266205,458.000885,470.93512,484.325287,499.011108,514.196716,529.486816,546.734985,563.578369,580.431946,597.954529,"2.8%"
Commercial,"Energy Expenditures: Nominal: Non-Renewable Commercial": Reference case,3-AEO2020.127.ref2020-d112119a,"billion nom $",188.964478,188.492874,195.334518,201.557129,207.187866,213.9767,222.773239,231.287689,238.860367,244.889603,250.700256,258.497314,264.433167,270.426849,279.429047,287.436584,294.106506,301.688263,309.703217,319.563477,328.414856,336.199982,346.053955,356.495178,366.546753,378.271271,390.322906,402.244781,416.748352,430.622864,444.697601,459.762573,"2.9%"
Industrial,"Energy Expenditures: Nominal: Non-Renewable Industrial": Reference case,3-AEO2020.128.ref2020-d112119a,"billion nom $",185.422699,182.733368,191.709778,204.049805,214.466797,226.732803,241.524017,258.334076,271.219116,283.733185,295.216339,305.018372,315.280151,326.652161,341.153412,355.539337,369.386719,383.627899,398.89032,415.149963,430.60614,446.508057,464.229309,485.181061,504.482758,525.321655,548.134033,569.80365,596.495361,623.433594,650.812744,676.916931,"4.3%"
Transportation,"Energy Expenditures: Nominal: Non-Renewable Transportation": Reference case,3-AEO2020.129.ref2020-d112119a,"billion nom $",573.600525,582.248657,593.599548,605.606201,611.654846,617.32251,629.031067,646.52478,661.877258,679.749817,699.135498,728.288879,748.154724,767.069336,794.400391,819.627136,843.345947,869.473145,891.473572,919.587708,950.723816,975.703247,1006.974915,1048.26709,1084.474731,1123.037842,1170.208862,1206.778809,1261.443359,1313.674316,1364.541382,1413.789551,"3.0%"
Total Non-Renewable Expenditures,"Energy Expenditures: Nominal: Total Non-Renewable": Reference case,3-AEO2020.130.ref2020-d112119a,"billion nom $",1202.56543,1204.448364,1242.249756,1279.292725,1308.449219,1341.543335,1386.681641,1440.272827,1485.847534,1530.706421,1575.516846,1632.3396,1676.455933,1721.418945,1783.571899,1841.9552,1895.524536,1953.796875,2010.179565,2076.898193,2143.87085,2203.677734,2275.259277,2360.878662,2439.82959,2525.64209,2622.862549,2708.314209,2821.421631,2931.309326,3040.483643,3148.423828,"3.2%"
Transportation Renewable Expenditures,"Energy Expenditures: Nominal: Renewable Transportation": Reference case,3-AEO2020.131.ref2020-d112119a,"billion nom $",0.366889,0.478973,0.644896,0.74914,0.73199,0.730997,0.782127,0.809244,0.819585,0.809239,0.816553,0.968611,0.946818,0.959131,0.97637,0.960915,0.923302,0.961704,0.977857,0.953956,0.905528,0.865639,0.881109,0.834559,0.839261,0.843874,0.85945,0.849767,0.669665,0.667007,0.834026,0.855657,"2.8%"
Total Expenditures,"Energy Expenditures: Nominal": Reference case,3-AEO2020.132.ref2020-d112119a,"billion nom $",1202.932373,1204.927368,1242.894775,1280.04187,1309.181152,1342.27417,1387.463867,1441.082275,1486.667114,1531.515747,1576.333374,1633.30835,1677.40271,1722.37793,1784.54834,1842.915894,1896.447754,1954.758667,2011.157593,2077.852295,2144.776367,2204.543213,2276.140137,2361.713135,2440.668701,2526.486084,2623.721924,2709.163574,2822.091553,2931.976074,3041.317627,3149.279297,"3.2%"
